Time	Force
2.81020	-493.16052
2.81025	-501.59169
2.81030	-483.13425
2.81035	-505.92121
2.81040	-505.46547
2.81045	-488.60312
2.81050	-491.56543
2.81055	-505.00973
2.81060	-501.59169
2.81065	-502.04743
2.81070	-489.28673
2.81075	-482.22278
2.81080	-494.52773
2.81085	-478.34899
2.81090	-491.10969
2.81095	-504.55400
2.81100	-485.64082
2.81105	-504.32613
2.81110	-485.64082
2.81115	-480.85556
2.81120	-502.27530
2.81125	-503.87039
2.81130	-490.42608
2.81135	-478.34899
2.81140	-505.23760
2.81145	-503.64252
2.81150	-488.60312
2.81155	-485.41295
2.81160	-505.69334
2.81165	-484.72934
2.81170	-495.21134
2.81175	-504.55400
2.81180	-478.12112
2.81185	-491.79330
2.81190	-505.92121
2.81195	-490.19821
2.81200	-506.83269
2.81205	-480.62769
2.81210	-493.16052
2.81215	-505.69334
2.81220	-491.79330
2.81225	-506.83269
2.81230	-492.70478
2.81235	-506.83269
2.81240	-487.46378
2.81245	-507.51630
2.81250	-479.94408
2.81255	-505.46547
2.81260	-483.81786
2.81265	-497.71791
2.81270	-507.28843
2.81275	-481.76704
2.81280	-505.46547
2.81285	-495.43921
2.81290	-507.06056
2.81295	-482.90638
2.81300	-508.88352
2.81305	-482.67852
2.81310	-508.65565
2.81315	-504.78187
2.81320	-490.65395
2.81325	-511.84582
2.81330	-511.39008
2.81335	-499.08513
2.81340	-507.97204
2.81345	-487.00804
2.81350	-512.52943
2.81355	-488.60312
2.81360	-510.70647
2.81365	-486.55230
2.81370	-510.93434
2.81375	-509.33926
2.81380	-506.37695
2.81385	-510.02287
2.81390	-508.88352
2.81395	-490.88182
2.81400	-493.84412
2.81405	-511.39008
2.81410	-488.14739
2.81415	-507.74417
2.81420	-509.11139
2.81425	-497.71791
2.81430	-485.64082
2.81435	-510.47860
2.81440	-489.28673
2.81445	-503.87039
2.81450	-494.52773
2.81455	-500.90808
2.81460	-511.61795
2.81465	-492.70478
2.81470	-502.50317
2.81475	-511.39008
2.81480	-484.95721
2.81485	-507.74417
2.81490	-508.42778
2.81495	-510.70647
2.81500	-507.06056
2.81505	-507.51630
2.81510	-501.59169
2.81515	-486.32443
2.81520	-507.74417
2.81525	-509.56713
2.81530	-497.26217
2.81535	-484.04573
2.81540	-512.75730
2.81545	-511.16221
2.81550	-499.08513
2.81555	-509.79500
2.81560	-510.02287
2.81565	-494.75560
2.81570	-512.98517
2.81575	-486.32443
2.81580	-512.07369
2.81585	-485.64082
2.81590	-499.08513
2.81595	-503.18678
2.81600	-503.87039
2.81605	-510.47860
2.81610	-499.76873
2.81615	-502.73104
2.81620	-494.29986
2.81625	-513.66878
2.81630	-484.27360
2.81635	-512.52943
2.81640	-490.19821
2.81645	-512.07369
2.81650	-496.12282
2.81655	-513.21304
2.81660	-498.17365
2.81665	-512.07369
2.81670	-499.76873
2.81675	-490.19821
2.81680	-494.75560
2.81685	-487.69165
2.81690	-512.52943
2.81695	-501.81956
2.81700	-507.51630
2.81705	-510.93434
2.81710	-501.36382
2.81715	-512.98517
2.81720	-492.70478
2.81725	-489.51460
2.81730	-505.92121
2.81735	-512.07369
2.81740	-495.43921
2.81745	-514.80813
2.81750	-488.14739
2.81755	-513.21304
2.81760	-506.14908
2.81765	-488.37525
2.81770	-510.25074
2.81775	-489.28673
2.81780	-514.12452
2.81785	-511.61795
2.81790	-497.26217
2.81795	-490.42608
2.81800	-515.26387
2.81805	-496.12282
2.81810	-512.98517
2.81815	-508.88352
2.81820	-511.16221
2.81825	-497.94578
2.81830	-513.44091
2.81835	-497.94578
2.81840	-498.40152
2.81845	-510.02287
2.81850	-503.18678
2.81855	-486.09656
2.81860	-512.07369
2.81865	-497.03430
2.81870	-510.70647
2.81875	-490.65395
2.81880	-512.98517
2.81885	-488.14739
2.81890	-512.52943
2.81895	-496.57856
2.81900	-512.75730
2.81905	-490.65395
2.81910	-511.84582
2.81915	-504.32613
2.81920	-505.46547
2.81925	-496.35069
2.81930	-494.52773
2.81935	-510.93434
2.81940	-500.45234
2.81945	-486.09656
2.81950	-501.81956
2.81955	-512.07369
2.81960	-493.61626
2.81965	-502.95891
2.81970	-509.33926
2.81975	-511.61795
2.81980	-509.33926
2.81985	-498.62939
2.81990	-492.93265
2.81995	-506.14908
2.82000	-494.29986
2.82005	-507.74417
2.82010	-496.80643
2.82015	-494.29986
2.82020	-511.39008
2.82025	-509.79500
2.82030	-508.42778
2.82035	-508.42778
2.82040	-502.95891
2.82045	-487.23591
2.82050	-508.42778
2.82055	-512.98517
2.82060	-494.75560
2.82065	-512.98517
2.82070	-510.70647
2.82075	-505.92121
2.82080	-512.75730
2.82085	-489.51460
2.82090	-512.98517
2.82095	-511.84582
2.82100	-510.70647
2.82105	-507.51630
2.82110	-512.07369
2.82115	-506.83269
2.82120	-509.56713
2.82125	-496.57856
2.82130	-486.09656
2.82135	-510.47860
2.82140	-501.13595
2.82145	-492.24904
2.82150	-510.93434
2.82155	-485.64082
2.82160	-511.16221
2.82165	-502.73104
2.82170	-510.70647
2.82175	-498.40152
2.82180	-484.95721
2.82185	-510.02287
2.82190	-494.75560
2.82195	-484.72934
2.82200	-495.21134
2.82205	-510.70647
2.82210	-507.97204
2.82215	-506.37695
